description,name,open_sharing,space_id,space_type,visibility
,Knowledge Factory,closed,7312380977362255874,team,private
,Virtual Engineer,closed,7359787188240203780,team,private
汇集管理知识赋能项目中涉及的各类知识文档,知识赋能KAP-CS,closed,7212937822389633025,team,private
,刘俊岐知识库,closed,7399959910295797761,team,private
,Jerry's wiki,closed,7398464166200459266,team,private
Tom Piccio's Library,Tom Piccio's Library,closed,7399943605261877276,team,private
Official space for MVP product ,MVP Warehouse,closed,7390276857299812353,team,private
让设计更赋创造性,结构设计部门,closed,7075277165100531714,team,public
快速上手知识库 / Getting started with Wiki,示例知识库 / Wiki samples,closed,7068118817192312834,team,public
,公司资料空间,closed,7072999206264487937,team,private
明晰企业的规章制度,规章制度,closed,7073282926502363138,team,private
产品管理协同,产品管理部-运动智能产品组内部协同,closed,7073285541185388546,team,private
轻松搭建项目知识资产库,团队项目,closed,7076023408110239748,team,private
帮助全员提升工作技能,学习交流,closed,7076049842216140828,team,private
汇集各个主要模块的技术文档与规范,柔性流水线技术空间,closed,7076265472685015042,team,private
从开发到技术沉淀一气呵成,项目管理,closed,7076297124291280897,team,private
销售合同模板、培训资料、销售漏斗PPL、日报周报、日常信息同步,行动元销售知识空间,closed,7077475939768090652,team,private
,项目管理-测试用,closed,7079004756848459777,team,private
帮助理解伺服软件功能准确定义,伺服软件功能定义规范,closed,7079255964741861380,team,private
从开发到技术沉淀一气呵成,云端平台,closed,7079984496728129538,team,private
存放工装常用资料,工装组资料,closed,7080411996516286468,team,private
保障客户产品使用，协同解决客户问题,客户支持小组,closed,7081147144782069788,team,public
柔性产品线-项目管理空间,柔性产品线,closed,7084524378435862530,team,private
工作空间,刘烈鸿-个人工作空间,closed,7085212563943784449,team,private
"算法赋能知识共享空间",算法赋能知识共享空间,closed,7085649398357655553,team,private
人机交互组空间,人机交互组,closed,7085961189108400156,team,private
Uservo项目软件开发团队知识空间,Uservo软件开发,closed,7091630967785439233,team,private
,软件测试,closed,7101535905155973121,team,private
,硬件组,closed,7103865427180240897,team,private
可靠性测试,硬件测试组,closed,7109358504200126466,team,private
,客户帮助中心,open,7112271681778876444,team,public
,销售Map,closed,7134578255432056835,team,private
,IT相关,closed,7139830967174397953,team,public
项目管理体系搭建,项目管理,closed,7144904801822457858,team,private
,DR1-22012项目知识库,closed,7147998247192494108,team,private
,DN1-22007项目知识库,closed,7152722499120545796,team,private
,FLEX & FLEX-R项目知识库,closed,7163566156354256898,team,private
,DP1-22013项目知识库,closed,7163566463767379996,team,private
,AF1-22014项目知识库,closed,7163566686854021121,team,private
,供应链管理,closed,7163585157608390660,team,private
,JID-23004项目知识库,closed,7164636013868646428,team,private
,柔性测试,closed,7171260660603453444,team,private
,质量管理,closed,7171736226058403868,team,private
,WIC-22004项目知识库,closed,7179908627875020828,team,private
,DG3-23001项目知识库,closed,7202500108695552001,team,private
,交付中心知识库,closed,7211026473037168642,team,private
,DF1-23002项目知识库,closed,7212553746130239489,team,private
待定,待定,closed,7218853990355042308,team,public
,财务部,closed,7226286807875567618,team,private
,知识培训,closed,7236751638860595204,team,public
